"","subids","condition","category_type","order","understand","comments"
"1",124,"active","information-integration","order1","Confused","I was really confused the first time through, I seemed to have a better grasp of what I was doing the second time."
"2",146,"active","information-integration","order1","Confused",""
"3",116,"active","information-integration","order1","No","It was a little confusing of what the actual antenna is. If it is the left hemicircle or the right hemicircle. Could possibly be improved by coloring one half. Also, during angle mode when I would drag left to right it would reload the page. I am using chrome and followed directions to the best of my ability."
"4",8,"active","information-integration","order1","Yes",""
"5",12,"active","information-integration","order1","Yes","That was a fun HIT, even though my performance was terrible."
"6",17,"active","information-integration","order1","Yes",""
"7",79,"active","information-integration","order1","Yes",""
"8",96,"active","information-integration","order1","Yes","That was fun -- interface was a little awkward at times, but definitely a good HIT. Thanks!"
"9",138,"active","information-integration","order1","Yes","Interesting, I wish I had done better."
"10",147,"active","information-integration","order1","Yes","The interface, moving the angle was a bit difficult. I found this rather difficult overall. I couldn't really discern the difference between size and angle in reference to which channel. "
"11",173,"active","information-integration","order1","Yes",""
"12",177,"active","information-integration","order1","Yes","A LITTLE MORE ELABORATED INSTRUCTIONS WOULD HELP IN PERFORMANCE :)"
"13",185,"active","information-integration","order1","Yes",""
"14",196,"active","information-integration","order1","Yes",""
"15",156,"active","information-integration","order2","Confused",""
"16",16,"active","information-integration","order2","Yes",""
"17",23,"active","information-integration","order2","Yes","I thought it was interesting and fun. "
"18",30,"active","information-integration","order2","Yes",""
"19",76,"active","information-integration","order2","Yes",""
"20",80,"active","information-integration","order2","Yes","none"
"21",99,"active","information-integration","order2","Yes","Very interesting experience."
"22",111,"active","information-integration","order2","Yes","It was fun"
"23",129,"active","information-integration","order2","Yes","none"
"24",141,"active","information-integration","order2","Yes","Confusing"
"25",152,"active","information-integration","order2","Yes",""
"26",183,"active","information-integration","order2","Yes","Confusing!"
"27",190,"active","information-integration","order2","Yes","none"
"28",31,"active","rule-based","order1","Confused","Very interesting yet odd experiment"
"29",35,"active","rule-based","order1","Confused",""
"30",112,"active","rule-based","order1","Confused","First, thank you for showing result percentages. That was really helpful. My accuracy went down from 96% to 93%; I think because I made riskier assessments the second time; to me, it seemed the angle was useless, and size mattered most (first round through seems to support this.)  If that's the case, then a grid would have helped.  I didn't see any correlation between angle at all, though I reckon I could have kept one size and played with that aspect.  Neat HIT, regardless. ;-)"
"31",7,"active","rule-based","order1","Yes",""
"32",9,"active","rule-based","order1","Yes",""
"33",15,"active","rule-based","order1","Yes",""
"34",20,"active","rule-based","order1","Yes","Did the orientation of the array have anything to do with the channel?"
"35",21,"active","rule-based","order1","Yes",""
"36",24,"active","rule-based","order1","Yes",""
"37",27,"active","rule-based","order1","Yes",""
"38",28,"active","rule-based","order1","Yes","I am not sure what you were trying to convey to the taker in the beginning, but the second round made it clear"
"39",29,"active","rule-based","order1","Yes",""
"40",33,"active","rule-based","order1","Yes",""
"41",34,"active","rule-based","order1","Yes",""
"42",36,"active","rule-based","order1","Yes","n/a"
"43",38,"active","rule-based","order1","Yes","I thought I did much better than my score."
"44",39,"active","rule-based","order1","Yes","This was cool! I thought I did pretty well, so don't burst my bubble and tell me I was at best average. :)"
"45",40,"active","rule-based","order1","Yes",""
"46",47,"active","rule-based","order1","Yes","It was enjoyable"
"47",48,"active","rule-based","order1","Yes","Nice study"
"48",49,"active","rule-based","order1","Yes","n/a"
"49",53,"active","rule-based","order1","Yes","would do future hits for you"
"50",38,"active","rule-based","order1","Yes","this was fun.  Good luck on your study."
"51",59,"active","rule-based","order1","Yes",""
"52",63,"active","rule-based","order1","Yes","no comments"
"53",65,"active","rule-based","order1","Yes",""
"54",66,"active","rule-based","order1","Yes",""
"55",73,"active","rule-based","order1","Yes",""
"56",83,"active","rule-based","order1","Yes",""
"57",84,"active","rule-based","order1","Yes","I do not think moving the antenna changed anything just the size"
"58",85,"active","rule-based","order1","Yes",""
"59",88,"active","rule-based","order1","Yes",""
"60",89,"active","rule-based","order1","Yes",""
"61",91,"active","rule-based","order1","Yes",""
"62",94,"active","rule-based","order1","Yes",""
"63",98,"active","rule-based","order1","Yes","It seemed that the big ones captured Ch2 and the smaller ones captured Ch1. It was the in-between (medium sized) ones that were difficult to decipher since some would say Ch1 and, if repeated, it would say Ch2."
"64",100,"active","rule-based","order1","Yes",""
"65",102,"active","rule-based","order1","Yes","Interesting hit - different from the usual."
"66",103,"active","rule-based","order1","Yes","Thanks"
"67",107,"active","rule-based","order1","Yes",""
"68",110,"active","rule-based","order1","Yes",""
"69",114,"active","rule-based","order1","Yes","I mixed numbers up on the first section. Think my accuracy would have been super good otherwise."
"70",115,"active","rule-based","order1","Yes","I was sort of confused the first round, but the second round I got the hang of things. "
"71",117,"active","rule-based","order1","Yes",""
"72",119,"active","rule-based","order1","Yes",""
"73",120,"active","rule-based","order1","Yes",""
"74",122,"active","rule-based","order1","Yes",""
"75",123,"active","rule-based","order1","Yes",""
"76",127,"active","rule-based","order1","Yes","I think I understood it, but I also felt a little confused. (If I could have picked 2 answers for the first question on this page)"
"77",133,"active","rule-based","order1","Yes",""
"78",137,"active","rule-based","order1","Yes","Thanks!"
"79",140,"active","rule-based","order1","Yes","IT WAS FUN"
"80",143,"active","rule-based","order1","Yes","Thanks! This was fun!"
"81",148,"active","rule-based","order1","Yes","thank you an unusual hit"
"82",150,"active","rule-based","order1","Yes",""
"83",160,"active","rule-based","order1","Yes","Thanks for the work, keep it coming!"
"84",169,"active","rule-based","order1","Yes",""
"85",181,"active","rule-based","order1","Yes",""
"86",184,"active","rule-based","order1","Yes","Thank you"
"87",186,"active","rule-based","order1","Yes","Thank You."
"88",192,"active","rule-based","order1","Yes",""
"89",194,"active","rule-based","order1","Yes","none"
"90",195,"active","rule-based","order1","Yes","It was a fun HIT. "
"91",105,"active","rule-based","order2","Yes","interesting"
"92",118,"active","rule-based","order2","Yes",""
"93",139,"active","rule-based","order2","Yes",""
"94",145,"active","rule-based","order2","Yes","none"
"95",172,"active","rule-based","order2","Yes","I think you need to warn participants that they need to be sure they are logged in before the hit is submitted. Otherwise the hit won't submit and their work will be lost."
"96",2,"active_receptive","rule-based","order1","Yes",""
"97",4,"active_receptive","rule-based","order1","Yes",""
"98",7,"active_receptive","rule-based","order1","Yes",""
