"language","enjoyment","gender","age","comments","education","approval_time","odb_stim","odb_param","odb_scale","screen_width","screen_height","condition","order","category_type","scale_factor_radius","scale_factor_orientation","browser","trial_number","trial_type","test_response","orientation_trial_stim","radius_change_stim","within_block_trial_number","radius_change_param","orientation_trial_param","radius_trial_param","orientation_response_stim","radius_response_param","block","orientation_change_param","radius_response_stim","trial_category","rt","orientation_change_stim","correct","radius_trial_stim","orientation_response_param","orientation_change","radius_change","quadrant","orientation_trial","orientation_response","radius_response","subids"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",1,"training","NA",49,35,1,0,1,600,28,600,1,0,255,"B",5567,21,NA,220,1,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",2,"training","NA",167,111,2,0,600,79,178,79,1,0,64,"B",11884,11,NA,175,600,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",3,"training","NA",159,59,3,0,524,265,159,265,1,0,132,"B",2585,0,NA,191,524,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",4,"training","NA",83,55,4,0,1,118,28,118,1,0,78,"A",3718,55,NA,133,1,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",5,"training","NA",45,141,5,0,600,600,178,600,1,0,255,"B",5875,133,NA,114,600,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",6,"training","NA",126,57,6,0,336,439,112,439,1,0,196,"B",6803,14,NA,139,336,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",7,"training","NA",36,60,7,0,236,433,87,433,1,0,194,"B",3487,51,NA,254,236,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",8,"training","NA",66,35,8,0,408,452,130,452,1,0,201,"B",4581,64,NA,166,408,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",9,"training","NA",79,52,9,0,120,180,58,180,1,0,101,"A",13992,21,NA,153,120,NA,NA,NA,NA,NA,NA,"1"
"","-1","","","","-1",2015-09-27 02:56:03,"y=-x","y<x","orientation_scale",1208,700,"active","order2","information-integration",2.72272727272727,3.99333333333333,"Chrome",10,"training","NA",108,27,10,0,452,240,141,240,1,0,123,"B",696345,33,NA,96,452,NA,NA,NA,NA,NA,NA,"1"
