"language","enjoyment","gender","age","comments","understand","education","approval_time","odb_stim","odb_param","odb_scale","screen_width","screen_height","condition","order","category_type","scale_factor_radius","scale_factor_orientation","browser","trial_number","trial_type","test_response","orientation_trial_stim","radius_change_stim","within_block_trial_number","radius_change_param","orientation_trial_param","radius_trial_param","orientation_response_stim","radius_response_param","block","orientation_change_param","radius_response_stim","trial_category","rt","orientation_change_stim","correct","radius_trial_stim","orientation_response_param","orientation_change","radius_change","quadrant","orientation_trial","orientation_response","radius_response","subids","block_factor"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",1,"training","NA",189,NA,1,NA,388,223,NA,NA,1,NA,NA,"A",3025,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",2,"training","NA",171,NA,2,NA,316,220,NA,NA,1,NA,NA,"A",1800,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",3,"training","NA",164,NA,3,NA,288,223,NA,NA,1,NA,NA,"B",1456,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",4,"training","NA",169,NA,4,NA,308,264,NA,NA,1,NA,NA,"A",1563,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",5,"training","NA",155,NA,5,NA,252,281,NA,NA,1,NA,NA,"A",1776,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",6,"training","NA",175,NA,6,NA,332,469,NA,NA,1,NA,NA,"B",2028,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",7,"training","NA",137,NA,7,NA,180,298,NA,NA,1,NA,NA,"B",1523,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",8,"training","NA",140,NA,8,NA,192,346,NA,NA,1,NA,NA,"B",1402,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",9,"training","NA",157,NA,9,NA,260,161,NA,NA,1,NA,NA,"A",1923,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",10,"training","NA",202,NA,10,NA,440,291,NA,NA,1,NA,NA,"A",1455,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",11,"training","NA",188,NA,11,NA,384,192,NA,NA,1,NA,NA,"A",1406,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",12,"training","NA",144,NA,12,NA,208,298,NA,NA,1,NA,NA,"B",1399,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",13,"training","NA",163,NA,13,NA,284,178,NA,NA,1,NA,NA,"A",1512,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",14,"training","NA",149,NA,14,NA,228,387,NA,NA,1,NA,NA,"B",1385,NA,NA,193,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",15,"training","NA",159,NA,15,NA,268,422,NA,NA,1,NA,NA,"B",1393,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",16,"training","NA",147,NA,16,NA,220,322,NA,NA,1,NA,NA,"B",1225,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",17,"test","A",NA,NA,17,NA,505,434,NA,NA,1,NA,NA,"A",8238,NA,TRUE,206,NA,NA,NA,2,218,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",18,"test","A",NA,NA,18,NA,565,463,NA,NA,1,NA,NA,"A",2806,NA,TRUE,215,NA,NA,NA,2,233,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",19,"test","A",NA,NA,19,NA,521,414,NA,NA,1,NA,NA,"A",1294,NA,TRUE,200,NA,NA,NA,2,222,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",20,"test","A",NA,NA,20,NA,433,79,NA,NA,1,NA,NA,"A",1189,NA,TRUE,103,NA,NA,NA,1,200,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",21,"test","B",NA,NA,21,NA,248,53,NA,NA,1,NA,NA,"A",13661,NA,FALSE,95,NA,NA,NA,3,154,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",22,"test","B",NA,NA,22,NA,595,69,NA,NA,1,NA,NA,"A",1658,NA,FALSE,100,NA,NA,NA,1,240,NA,NA,"1","1"
"English","Average","Female","42","","Yes","Graduated College",2015-09-27 04:09:51,"y=x","y>x","radius_scale",1218,700,"receptive","order1","information-integration",3.42285714285714,3.99333333333333,"Chrome",23,"test","B",NA,NA,23,NA,328,78,NA,NA,1,NA,NA,"A",1402,NA,FALSE,102,NA,NA,NA,1,174,NA,NA,"1","1"
